campaign,payment_country,region,tenure,metric,result
2017,au,Total,Foundation,donations,3557
2017,au,Total,Foundation,ada,118.99
2017,au,Total,Foundation,funds,423245.92
2017,au,Total,Foundation,comment,
2017,au,Total,New,regos,47054
2017,au,Total,New,active,35966
2017,au,Total,New,apam,308.83
2017,au,Total,New,funds,11107436.88
2017,au,Total,New,comment,
2017,au,Total,Retained,regos_total_prior,71406
2017,au,Total,Retained,regos,15608
2017,au,Total,Retained,active,12488
2017,au,Total,Retained,apam,481.05
2017,au,Total,Retained,funds,6007373.23
2017,au,Total,Retained,comment,
2017,au,Total,Retained,regos_total_curnt,73582
2017,au,Total,Returned,regos,10920
2017,au,Total,Returned,active,7603
2017,au,Total,Returned,apam,371.24
2017,au,Total,Returned,funds,2822551.51
2017,au,Total,Returned,comment,
2017,au,Total,Team,donations,739
2017,au,Total,Team,atdd,355.72
2017,au,Total,Team,funds,262877.89
2017,au,Total,Team,comment,
2017,ca,Total,Foundation,donations,7277
2017,ca,Total,Foundation,ada,140.16
2017,ca,Total,Foundation,funds,1019946.64
2017,ca,Total,Foundation,comment,
2017,ca,Total,New,regos,30489
2017,ca,Total,New,active,20319
2017,ca,Total,New,apam,252.22
2017,ca,Total,New,funds,5124820.08
2017,ca,Total,New,comment,
2017,ca,Total,Retained,regos_total_prior,55299
2017,ca,Total,Retained,regos,15525
2017,ca,Total,Retained,active,12451
2017,ca,Total,Retained,apam,512.79
2017,ca,Total,Retained,funds,6384793.07
2017,ca,Total,Retained,comment,
2017,ca,Total,Retained,regos_total_curnt,56075
2017,ca,Total,Returned,regos,10061
2017,ca,Total,Returned,active,6679
2017,ca,Total,Returned,apam,327.88
2017,ca,Total,Returned,funds,2189882.93
2017,ca,Total,Returned,comment,
2017,ca,Total,Team,donations,2577
2017,ca,Total,Team,atdd,348.41
2017,ca,Total,Team,funds,897856.32
2017,ca,Total,Team,comment,
2017,gb,Total,Foundation,donations,6783
2017,gb,Total,Foundation,ada,66.03
2017,gb,Total,Foundation,funds,447907.41
2017,gb,Total,Foundation,comment,
2017,gb,Total,New,regos,33625
2017,gb,Total,New,active,20384
2017,gb,Total,New,apam,131.92
2017,gb,Total,New,funds,2689155.49
2017,gb,Total,New,comment,
2017,gb,Total,Retained,regos_total_prior,48524
2017,gb,Total,Retained,regos,8439
2017,gb,Total,Retained,active,5847
2017,gb,Total,Retained,apam,190.53
2017,gb,Total,Retained,funds,1114010.21
2017,gb,Total,Retained,comment,
2017,gb,Total,Retained,regos_total_curnt,51025
2017,gb,Total,Returned,regos,8961
2017,gb,Total,Returned,active,4838
2017,gb,Total,Returned,apam,157.85
2017,gb,Total,Returned,funds,763694.57
2017,gb,Total,Returned,comment,
2017,gb,Total,Team,donations,2351
2017,gb,Total,Team,atdd,123.58
2017,gb,Total,Team,funds,290532.56
2017,gb,Total,Team,comment,
2017,us,Total,Foundation,donations,9833
2017,us,Total,Foundation,ada,75.68
2017,us,Total,Foundation,funds,744123.39
2017,us,Total,Foundation,comment,
2017,us,Total,New,regos,41028
2017,us,Total,New,active,23629
2017,us,Total,New,apam,178.03
2017,us,Total,New,funds,4206775.79
2017,us,Total,New,comment,
2017,us,Total,Retained,regos_total_prior,84551
2017,us,Total,Retained,regos,18277
2017,us,Total,Retained,active,13533
2017,us,Total,Retained,apam,522.23
2017,us,Total,Retained,funds,7067273.19
2017,us,Total,Retained,comment,
2017,us,Total,Retained,regos_total_curnt,67683
2017,us,Total,Returned,regos,8378
2017,us,Total,Returned,active,4250
2017,us,Total,Returned,apam,261.96
2017,us,Total,Returned,funds,1113332.33
2017,us,Total,Returned,comment,
2017,us,Total,Team,donations,2380
2017,us,Total,Team,atdd,326.1
2017,us,Total,Team,funds,776108.54
2017,us,Total,Team,comment,
2017,ie,Total,Foundation,donations,1700
2017,ie,Total,Foundation,ada,51.09
2017,ie,Total,Foundation,funds,86858.92
2017,ie,Total,Foundation,comment,
2017,ie,Total,New,regos,2844
2017,ie,Total,New,active,1677
2017,ie,Total,New,apam,254.58
2017,ie,Total,New,funds,426923.73
2017,ie,Total,New,comment,
2017,ie,Total,Retained,regos_total_prior,4243
2017,ie,Total,Retained,regos,632
2017,ie,Total,Retained,active,460
2017,ie,Total,Retained,apam,314.31
2017,ie,Total,Retained,funds,144581.96
2017,ie,Total,Retained,comment,
2017,ie,Total,Retained,regos_total_curnt,4173
2017,ie,Total,Returned,regos,697
2017,ie,Total,Returned,active,363
2017,ie,Total,Returned,apam,314.14
2017,ie,Total,Returned,funds,114033.59
2017,ie,Total,Returned,comment,
2017,ie,Total,Team,donations,61
2017,ie,Total,Team,atdd,450.63
2017,ie,Total,Team,funds,27488.32
2017,ie,Total,Team,comment,
2017,nz,Total,Foundation,donations,1106
2017,nz,Total,Foundation,ada,110.19
2017,nz,Total,Foundation,funds,121869.41
2017,nz,Total,Foundation,comment,
2017,nz,Total,New,regos,6285
2017,nz,Total,New,active,4642
2017,nz,Total,New,apam,203.69
2017,nz,Total,New,funds,945520.93
2017,nz,Total,New,comment,
2017,nz,Total,Retained,regos_total_prior,7911
2017,nz,Total,Retained,regos,1281
2017,nz,Total,Retained,active,1029
2017,nz,Total,Retained,apam,289.88
2017,nz,Total,Retained,funds,298286.15
2017,nz,Total,Retained,comment,
2017,nz,Total,Retained,regos_total_curnt,8607
2017,nz,Total,Returned,regos,1041
2017,nz,Total,Returned,active,663
2017,nz,Total,Returned,apam,234.14
2017,nz,Total,Returned,funds,155237.6
2017,nz,Total,Returned,comment,
2017,nz,Total,Team,donations,304
2017,nz,Total,Team,atdd,86.11
2017,nz,Total,Team,funds,26176.2
2017,nz,Total,Team,comment,
2017,at,Total,Foundation,donations,195
2017,at,Total,Foundation,ada,35.78
2017,at,Total,Foundation,funds,6976.62
2017,at,Total,Foundation,comment,
2017,at,Total,New,regos,615
2017,at,Total,New,active,285
2017,at,Total,New,apam,61.6
2017,at,Total,New,funds,17554.84
2017,at,Total,New,comment,
2017,at,Total,Retained,regos_total_prior,1393
2017,at,Total,Retained,regos,316
2017,at,Total,Retained,active,183
2017,at,Total,Retained,apam,103.74
2017,at,Total,Retained,funds,18984.94
2017,at,Total,Retained,comment,
