campaign,payment_country,region,tenure,metric,result
2018,au,Total,Foundation,donations,3611
2018,au,Total,Foundation,ada,179.29
2018,au,Total,Foundation,funds,647420.27
2018,au,Total,Foundation,comment,
2018,au,Total,New,regos,57586
2018,au,Total,New,active,42966
2018,au,Total,New,apam,314.88
2018,au,Total,New,funds,13529130.35
2018,au,Total,New,comment,
2018,au,Total,Retained,regos_total_prior,73582
2018,au,Total,Retained,regos,16560
2018,au,Total,Retained,active,13805
2018,au,Total,Retained,apam,482.74
2018,au,Total,Retained,funds,6664289.96
2018,au,Total,Retained,comment,
2018,au,Total,Retained,regos_total_curnt,85409
2018,au,Total,Returned,regos,11263
2018,au,Total,Returned,active,8407
2018,au,Total,Returned,apam,372.94
2018,au,Total,Returned,funds,3135288.81
2018,au,Total,Returned,comment,
2018,au,Total,Team,donations,4644
2018,au,Total,Team,atdd,279.85
2018,au,Total,Team,funds,1299611.94
2018,au,Total,Team,comment,
2018,ca,Total,Foundation,donations,4931
2018,ca,Total,Foundation,ada,178.7
2018,ca,Total,Foundation,funds,881157.84
2018,ca,Total,Foundation,comment,
2018,ca,Total,New,regos,32292
2018,ca,Total,New,active,20661
2018,ca,Total,New,apam,277.73
2018,ca,Total,New,funds,5738128.48
2018,ca,Total,New,comment,
2018,ca,Total,Retained,regos_total_prior,56075
2018,ca,Total,Retained,regos,15185
2018,ca,Total,Retained,active,12451
2018,ca,Total,Retained,apam,552.66
2018,ca,Total,Retained,funds,6881138.73
2018,ca,Total,Retained,comment,
2018,ca,Total,Retained,regos_total_curnt,56396
2018,ca,Total,Returned,regos,8919
2018,ca,Total,Returned,active,5798
2018,ca,Total,Returned,apam,352.9
2018,ca,Total,Returned,funds,2046100.21
2018,ca,Total,Returned,comment,
2018,ca,Total,Team,donations,2596
2018,ca,Total,Team,atdd,353.36
2018,ca,Total,Team,funds,917333.99
2018,ca,Total,Team,comment,
2018,gb,Total,Foundation,donations,6158
2018,gb,Total,Foundation,ada,115.2
2018,gb,Total,Foundation,funds,709375.73
2018,gb,Total,Foundation,comment,
2018,gb,Total,New,regos,40559
2018,gb,Total,New,active,24355
2018,gb,Total,New,apam,142.87
2018,gb,Total,New,funds,3479629.94
2018,gb,Total,New,comment,
2018,gb,Total,Retained,regos_total_prior,51025
2018,gb,Total,Retained,regos,8392
2018,gb,Total,Retained,active,6214
2018,gb,Total,Retained,apam,201.89
2018,gb,Total,Retained,funds,1254556.78
2018,gb,Total,Retained,comment,
2018,gb,Total,Retained,regos_total_curnt,56073
2018,gb,Total,Returned,regos,7122
2018,gb,Total,Returned,active,4413
2018,gb,Total,Returned,apam,184.01
2018,gb,Total,Returned,funds,812048.76
2018,gb,Total,Returned,comment,
2018,gb,Total,Team,donations,2294
2018,gb,Total,Team,atdd,109.45
2018,gb,Total,Team,funds,251085.17
2018,gb,Total,Team,comment,
2018,us,Total,Foundation,donations,7649
2018,us,Total,Foundation,ada,173.7
2018,us,Total,Foundation,funds,1328647.01
2018,us,Total,Foundation,comment,
2018,us,Total,New,regos,44534
2018,us,Total,New,active,22261
2018,us,Total,New,apam,198.72
2018,us,Total,New,funds,4423764.71
2018,us,Total,New,comment,
2018,us,Total,Retained,regos_total_prior,67683
2018,us,Total,Retained,regos,15828
2018,us,Total,Retained,active,12418
2018,us,Total,Retained,apam,530.08
2018,us,Total,Retained,funds,6582502.85
2018,us,Total,Retained,comment,
2018,us,Total,Retained,regos_total_curnt,68255
2018,us,Total,Returned,regos,7893
2018,us,Total,Returned,active,3953
2018,us,Total,Returned,apam,299.52
2018,us,Total,Returned,funds,1183998.94
2018,us,Total,Returned,comment,
2018,us,Total,Team,donations,2423
2018,us,Total,Team,atdd,484.82
2018,us,Total,Team,funds,1174719.65
2018,us,Total,Team,comment,
2018,ie,Total,Foundation,donations,1636
2018,ie,Total,Foundation,ada,57.77
2018,ie,Total,Foundation,funds,94512.08
2018,ie,Total,Foundation,comment,
2018,ie,Total,New,regos,4729
2018,ie,Total,New,active,2527
2018,ie,Total,New,apam,288.77
2018,ie,Total,New,funds,729723.41
2018,ie,Total,New,comment,
2018,ie,Total,Retained,regos_total_prior,4173
2018,ie,Total,Retained,regos,710
2018,ie,Total,Retained,active,512
2018,ie,Total,Retained,apam,333.16
2018,ie,Total,Retained,funds,170579.3
2018,ie,Total,Retained,comment,
2018,ie,Total,Retained,regos_total_curnt,6115
2018,ie,Total,Returned,regos,676
2018,ie,Total,Returned,active,387
2018,ie,Total,Returned,apam,341.55
2018,ie,Total,Returned,funds,132178.24
2018,ie,Total,Returned,comment,
2018,ie,Total,Team,donations,329
2018,ie,Total,Team,atdd,606.84
2018,ie,Total,Team,funds,199651.44
2018,ie,Total,Team,comment,
2018,nz,Total,Foundation,donations,452
2018,nz,Total,Foundation,ada,152.85
2018,nz,Total,Foundation,funds,69090.32
2018,nz,Total,Foundation,comment,
2018,nz,Total,New,regos,8687
2018,nz,Total,New,active,5147
2018,nz,Total,New,apam,219.28
2018,nz,Total,New,funds,1128622.09
2018,nz,Total,New,comment,
2018,nz,Total,Retained,regos_total_prior,8607
2018,nz,Total,Retained,regos,1680
2018,nz,Total,Retained,active,1168
2018,nz,Total,Retained,apam,322.08
2018,nz,Total,Retained,funds,376191.47
2018,nz,Total,Retained,comment,
2018,nz,Total,Retained,regos_total_curnt,11548
2018,nz,Total,Returned,regos,1181
2018,nz,Total,Returned,active,774
2018,nz,Total,Returned,apam,258.98
2018,nz,Total,Returned,funds,200450.92
2018,nz,Total,Returned,comment,
2018,nz,Total,Team,donations,827
2018,nz,Total,Team,atdd,380.33
2018,nz,Total,Team,funds,314535.65
2018,nz,Total,Team,comment,
2018,at,Total,Foundation,donations,181
2018,at,Total,Foundation,ada,88.31
2018,at,Total,Foundation,funds,15984.26
2018,at,Total,Foundation,comment,
2018,at,Total,New,regos,694
