campaign,payment_country,region,tenure,metric,result
2019,us,GA,New,regos,1126
2019,us,GA,New,active,270
2019,us,GA,New,apam,349.37
2019,us,GA,New,funds,94329.53
2019,us,GA,New,comment,
2019,us,GA,Retained,regos_total_prior,1186
2019,us,GA,Retained,regos,307
2019,us,GA,Retained,active,167
2019,us,GA,Retained,apam,1077.65
2019,us,GA,Retained,funds,179968.29
2019,us,GA,Retained,comment,
2019,us,GA,Retained,regos_total_curnt,1590
2019,us,GA,Returned,regos,157
2019,us,GA,Returned,active,54
2019,us,GA,Returned,apam,432.25
2019,us,GA,Returned,funds,23341.4
2019,us,GA,Returned,comment,
2019,us,GA,Team,donations,0
2019,us,GA,Team,atdd,0.0
2019,us,GA,Team,funds,0.0
2019,us,GA,Team,comment,
2019,us,IL,Foundation,donations,324
2019,us,IL,Foundation,ada,52.32
2019,us,IL,Foundation,funds,16950.57
2019,us,IL,Foundation,comment,
2019,us,IL,New,regos,2327
2019,us,IL,New,active,821
2019,us,IL,New,apam,246.63
2019,us,IL,New,funds,202485.78
2019,us,IL,New,comment,
2019,us,IL,Retained,regos_total_prior,2591
2019,us,IL,Retained,regos,819
2019,us,IL,Retained,active,522
2019,us,IL,Retained,apam,667.19
2019,us,IL,Retained,funds,348274.83
2019,us,IL,Retained,comment,
2019,us,IL,Retained,regos_total_curnt,3511
2019,us,IL,Returned,regos,365
2019,us,IL,Returned,active,158
2019,us,IL,Returned,apam,325.73
2019,us,IL,Returned,funds,51464.57
2019,us,IL,Returned,comment,
2019,us,IL,Team,donations,0
2019,us,IL,Team,atdd,0.0
2019,us,IL,Team,funds,0.0
2019,us,IL,Team,comment,
2019,us,MA,Foundation,donations,226
2019,us,MA,Foundation,ada,84.42
2019,us,MA,Foundation,funds,19077.84
2019,us,MA,Foundation,comment,
2019,us,MA,New,regos,2273
2019,us,MA,New,active,830
2019,us,MA,New,apam,256.95
2019,us,MA,New,funds,213267.19
2019,us,MA,New,comment,
2019,us,MA,Retained,regos_total_prior,2642
2019,us,MA,Retained,regos,851
2019,us,MA,Retained,active,536
2019,us,MA,Retained,apam,536.79
2019,us,MA,Retained,funds,287719.03
2019,us,MA,Retained,comment,
2019,us,MA,Retained,regos_total_curnt,3469
2019,us,MA,Returned,regos,345
2019,us,MA,Returned,active,171
2019,us,MA,Returned,apam,353.14
2019,us,MA,Returned,funds,60387.33
2019,us,MA,Returned,comment,
2019,us,MA,Team,donations,0
2019,us,MA,Team,atdd,0.0
2019,us,MA,Team,funds,0.0
2019,us,MA,Team,comment,
2019,us,MN,Foundation,donations,139
2019,us,MN,Foundation,ada,215.44
2019,us,MN,Foundation,funds,29946.63
2019,us,MN,Foundation,comment,
2019,us,MN,New,regos,1069
2019,us,MN,New,active,285
2019,us,MN,New,apam,180.55
2019,us,MN,New,funds,51457.76
2019,us,MN,New,comment,
2019,us,MN,Retained,regos_total_prior,1371
2019,us,MN,Retained,regos,404
2019,us,MN,Retained,active,243
2019,us,MN,Retained,apam,474.09
2019,us,MN,Retained,funds,115202.95
2019,us,MN,Retained,comment,
2019,us,MN,Retained,regos_total_curnt,1648
2019,us,MN,Returned,regos,175
2019,us,MN,Returned,active,63
2019,us,MN,Returned,apam,272.08
2019,us,MN,Returned,funds,17141.24
2019,us,MN,Returned,comment,
2019,us,MN,Team,donations,0
2019,us,MN,Team,atdd,0.0
2019,us,MN,Team,funds,0.0
2019,us,MN,Team,comment,
2019,us,NJ,Foundation,donations,473
2019,us,NJ,Foundation,ada,52.38
2019,us,NJ,Foundation,funds,24774.79
2019,us,NJ,Foundation,comment,
2019,us,NJ,New,regos,2084
2019,us,NJ,New,active,698
2019,us,NJ,New,apam,233.17
2019,us,NJ,New,funds,162750.42
2019,us,NJ,New,comment,
2019,us,NJ,Retained,regos_total_prior,2774
2019,us,NJ,Retained,regos,912
2019,us,NJ,Retained,active,572
2019,us,NJ,Retained,apam,588.94
2019,us,NJ,Retained,funds,336873.92
2019,us,NJ,Retained,comment,
2019,us,NJ,Retained,regos_total_curnt,3347
2019,us,NJ,Returned,regos,351
2019,us,NJ,Returned,active,160
2019,us,NJ,Returned,apam,403.36
2019,us,NJ,Returned,funds,64538.01
2019,us,NJ,Returned,comment,
2019,us,NJ,Team,donations,0
2019,us,NJ,Team,atdd,0.0
2019,us,NJ,Team,funds,0.0
2019,us,NJ,Team,comment,
2019,us,NY,Foundation,donations,759
2019,us,NY,Foundation,ada,122.8
2019,us,NY,Foundation,funds,93204.85
2019,us,NY,Foundation,comment,
2019,us,NY,New,regos,5341
2019,us,NY,New,active,1679
2019,us,NY,New,apam,321.88
2019,us,NY,New,funds,540440.08
2019,us,NY,New,comment,
2019,us,NY,Retained,regos_total_prior,6202
2019,us,NY,Retained,regos,1699
2019,us,NY,Retained,active,934
2019,us,NY,Retained,apam,739.78
2019,us,NY,Retained,funds,690951.5
2019,us,NY,Retained,comment,
2019,us,NY,Retained,regos_total_curnt,7750
2019,us,NY,Returned,regos,710
2019,us,NY,Returned,active,302
2019,us,NY,Returned,apam,416.77
2019,us,NY,Returned,funds,125863.91
2019,us,NY,Returned,comment,
2019,us,NY,Team,donations,0
2019,us,NY,Team,atdd,0.0
2019,us,NY,Team,funds,0.0
2019,us,NY,Team,comment,
2019,us,OH,Foundation,donations,225
2019,us,OH,Foundation,ada,33.58
2019,us,OH,Foundation,funds,7555.34
2019,us,OH,Foundation,comment,
2019,us,OH,New,regos,1535
2019,us,OH,New,active,342
2019,us,OH,New,apam,186.58
2019,us,OH,New,funds,63810.88
2019,us,OH,New,comment,
2019,us,OH,Retained,regos_total_prior,1581
2019,us,OH,Retained,regos,417
2019,us,OH,Retained,active,242
2019,us,OH,Retained,apam,417.74
2019,us,OH,Retained,funds,101093.07
2019,us,OH,Retained,comment,
2019,us,OH,Retained,regos_total_curnt,2168
2019,us,OH,Returned,regos,216
2019,us,OH,Returned,active,89
2019,us,OH,Returned,apam,557.01
2019,us,OH,Returned,funds,49573.76
2019,us,OH,Returned,comment,
2019,us,OH,Team,donations,0
2019,us,OH,Team,atdd,0.0
2019,us,OH,Team,funds,0.0
2019,us,OH,Team,comment,
2019,us,PA,Foundation,donations,288
2019,us,PA,Foundation,ada,67.13
2019,us,PA,Foundation,funds,19333.5
2019,us,PA,Foundation,comment,
2019,us,PA,New,regos,2331
2019,us,PA,New,active,650
2019,us,PA,New,apam,236.95
2019,us,PA,New,funds,154014.83
2019,us,PA,New,comment,
2019,us,PA,Retained,regos_total_prior,2249
2019,us,PA,Retained,regos,659
2019,us,PA,Retained,active,364
2019,us,PA,Retained,apam,555.91
2019,us,PA,Retained,funds,202351.41
2019,us,PA,Retained,comment,
2019,us,PA,Retained,regos_total_curnt,3244
2019,us,PA,Returned,regos,254
2019,us,PA,Returned,active,103
2019,us,PA,Returned,apam,258.03
2019,us,PA,Returned,funds,26577.09
2019,us,PA,Returned,comment,
2019,us,PA,Team,donations,0
2019,us,PA,Team,atdd,0.0
2019,us,PA,Team,funds,0.0
2019,us,PA,Team,comment,
2019,us,TX,Foundation,donations,528
2019,us,TX,Foundation,ada,51.54
2019,us,TX,Foundation,funds,27210.57
2019,us,TX,Foundation,comment,
2019,us,TX,New,regos,3333
2019,us,TX,New,active,813
2019,us,TX,New,apam,214.86
2019,us,TX,New,funds,174677.19
2019,us,TX,New,comment,
2019,us,TX,Retained,regos_total_prior,3721
2019,us,TX,Retained,regos,957
2019,us,TX,Retained,active,543
2019,us,TX,Retained,apam,574.5
2019,us,TX,Retained,funds,311955.99
2019,us,TX,Retained,comment,
2019,us,TX,Retained,regos_total_curnt,4799
2019,us,TX,Returned,regos,509
2019,us,TX,Returned,active,188
2019,us,TX,Returned,apam,270.01
2019,us,TX,Returned,funds,50762.47
2019,us,TX,Returned,comment,
2019,us,TX,Team,donations,0
2019,us,TX,Team,atdd,0.0
2019,us,TX,Team,funds,0.0
2019,us,TX,Team,comment,
2019,us,WA,Foundation,donations,163
2019,us,WA,Foundation,ada,65.59
2019,us,WA,Foundation,funds,10690.72
2019,us,WA,Foundation,comment,
2019,us,WA,New,regos,1365
2019,us,WA,New,active,375
2019,us,WA,New,apam,211.83
2019,us,WA,New,funds,79436.54
2019,us,WA,New,comment,
2019,us,WA,Retained,regos_total_prior,1831
2019,us,WA,Retained,regos,487
2019,us,WA,Retained,active,282
2019,us,WA,Retained,apam,641.45
2019,us,WA,Retained,funds,180890.18
2019,us,WA,Retained,comment,
2019,us,WA,Retained,regos_total_curnt,2159
2019,us,WA,Returned,regos,307
2019,us,WA,Returned,active,118
2019,us,WA,Returned,apam,282.98
2019,us,WA,Returned,funds,33391.86
2019,us,WA,Returned,comment,
2019,us,WA,Team,donations,0
2019,us,WA,Team,atdd,0.0
2019,us,WA,Team,funds,0.0
2019,us,WA,Team,comment,
2019,us,Other,Foundation,donations,5275
2019,us,Other,Foundation,ada,170.41
2019,us,Other,Foundation,funds,898904.75
2019,us,Other,Foundation,comment,
2019,us,Other,New,regos,18192
2019,us,Other,New,active,4195
2019,us,Other,New,apam,197.99
2019,us,Other,New,funds,830551.47
2019,us,Other,New,comment,
2019,us,Other,Retained,regos_total_prior,49352
2019,us,Other,Retained,regos,5171
2019,us,Other,Retained,active,2878
2019,us,Other,Retained,apam,509.54
2019,us,Other,Retained,funds,1466447.04
