campaign,payment_country,region,tenure,metric,result
2020,au,Total,Foundation,donations,6260
2020,au,Total,Foundation,ada,162.76
2020,au,Total,Foundation,funds,1018857.73
2020,au,Total,Foundation,comment,
2020,au,Total,New,regos,54342
2020,au,Total,New,active,30903
2020,au,Total,New,apam,385.62
2020,au,Total,New,funds,11916872.22
2020,au,Total,New,comment,
2020,au,Total,Retained,regos_total_prior,101398
2020,au,Total,Retained,regos,19722
2020,au,Total,Retained,active,13506
2020,au,Total,Retained,apam,501.76
2020,au,Total,Retained,funds,6776731.68
2020,au,Total,Retained,comment,
2020,au,Total,Retained,regos_total_curnt,84489
2020,au,Total,Returned,regos,10425
2020,au,Total,Returned,active,6609
2020,au,Total,Returned,apam,412.68
2020,au,Total,Returned,funds,2727412.2
2020,au,Total,Returned,comment,
2020,au,Total,Team,donations,6464
2020,au,Total,Team,atdd,737.47
2020,au,Total,Team,funds,4767003.89
2020,au,Total,Team,comment,
2020,ca,Total,Foundation,donations,8341
2020,ca,Total,Foundation,ada,172.55
2020,ca,Total,Foundation,funds,1439224.41
2020,ca,Total,Foundation,comment,
2020,ca,Total,New,regos,40710
2020,ca,Total,New,active,20599
2020,ca,Total,New,apam,365.28
2020,ca,Total,New,funds,7524427.83
2020,ca,Total,New,comment,
2020,ca,Total,Retained,regos_total_prior,70809
2020,ca,Total,Retained,regos,18009
2020,ca,Total,Retained,active,12918
2020,ca,Total,Retained,apam,627.55
2020,ca,Total,Retained,funds,8106750.81
2020,ca,Total,Retained,comment,
2020,ca,Total,Retained,regos_total_curnt,67874
2020,ca,Total,Returned,regos,9155
2020,ca,Total,Returned,active,5312
2020,ca,Total,Returned,apam,426.61
2020,ca,Total,Returned,funds,2266141.33
2020,ca,Total,Returned,comment,
2020,ca,Total,Team,donations,4718
2020,ca,Total,Team,atdd,667.05
2020,ca,Total,Team,funds,3147144.12
2020,ca,Total,Team,comment,
2020,gb,Total,Foundation,donations,10727
2020,gb,Total,Foundation,ada,77.98
2020,gb,Total,Foundation,funds,836464.61
2020,gb,Total,Foundation,comment,
2020,gb,Total,New,regos,85711
2020,gb,Total,New,active,44897
2020,gb,Total,New,apam,182.38
2020,gb,Total,New,funds,8188494.14
2020,gb,Total,New,comment,
2020,gb,Total,Retained,regos_total_prior,82097
2020,gb,Total,Retained,regos,15217
2020,gb,Total,Retained,active,10096
2020,gb,Total,Retained,apam,223.88
2020,gb,Total,Retained,funds,2260320.26
2020,gb,Total,Retained,comment,
2020,gb,Total,Retained,regos_total_curnt,110890
2020,gb,Total,Returned,regos,9962
2020,gb,Total,Returned,active,5891
2020,gb,Total,Returned,apam,213.48
2020,gb,Total,Returned,funds,1257609.8
2020,gb,Total,Returned,comment,
2020,gb,Total,Team,donations,6528
2020,gb,Total,Team,atdd,306.13
2020,gb,Total,Team,funds,1998439.14
2020,gb,Total,Team,comment,
2020,us,Total,Foundation,donations,7876
2020,us,Total,Foundation,ada,136.18
2020,us,Total,Foundation,funds,1072559.39
2020,us,Total,Foundation,comment,
2020,us,Total,New,regos,36268
2020,us,Total,New,active,10139
2020,us,Total,New,apam,274.03
2020,us,Total,New,funds,2778436.25
2020,us,Total,New,comment,
2020,us,Total,Retained,regos_total_prior,77998
2020,us,Total,Retained,regos,13200
2020,us,Total,Retained,active,7561
2020,us,Total,Retained,apam,708.0
2020,us,Total,Retained,funds,5353156.61
2020,us,Total,Retained,comment,
2020,us,Total,Retained,regos_total_curnt,55056
2020,us,Total,Returned,regos,5588
2020,us,Total,Returned,active,2120
2020,us,Total,Returned,apam,429.29
2020,us,Total,Returned,funds,910084.31
2020,us,Total,Returned,comment,
2020,us,Total,Team,donations,2890
2020,us,Total,Team,atdd,850.96
2020,us,Total,Team,funds,2459265.07
2020,us,Total,Team,comment,
2020,ie,Total,Foundation,donations,1431
2020,ie,Total,Foundation,ada,225.15
2020,ie,Total,Foundation,funds,322196.11
2020,ie,Total,Foundation,comment,
2020,ie,Total,New,regos,16532
2020,ie,Total,New,active,9842
2020,ie,Total,New,apam,314.51
2020,ie,Total,New,funds,3095392.79
2020,ie,Total,New,comment,
2020,ie,Total,Retained,regos_total_prior,10561
2020,ie,Total,Retained,regos,2275
2020,ie,Total,Retained,active,1573
2020,ie,Total,Retained,apam,354.0
2020,ie,Total,Retained,funds,556842.91
2020,ie,Total,Retained,comment,
2020,ie,Total,Retained,regos_total_curnt,20084
2020,ie,Total,Returned,regos,1277
2020,ie,Total,Returned,active,824
2020,ie,Total,Returned,apam,382.67
2020,ie,Total,Returned,funds,315319.26
2020,ie,Total,Returned,comment,
2020,ie,Total,Team,donations,1284
2020,ie,Total,Team,atdd,501.51
2020,ie,Total,Team,funds,643942.95
2020,ie,Total,Team,comment,
2020,nz,Total,Foundation,donations,734
